
@attribute Name string
@attribute Platform { Wii, NES, GB, DS, X360, PS3, PS2, SNES, GBA, 3DS, PS4, N64, PS, XB, PC, 2600, PSP, XOne, GC, WiiU, GEN, DC, PSV, SAT, SCD, WS, NG, TG16, 3DO, GG, PCFX }
@attribute Year { 2006, 1985, 2008, 2009, 1996, 1989, 1984, 2005, 1999, 2007, 2010, 2013, 2004, 1990, 1988, 2002, 2001, 2011, 1998, 2015, 2012, 2014, 1992, 1997, 1993, 1994, 1982, 2003, 1986, 2000, 1995, 2016, 1991, 1981, 1987, 1980, 1983, 2020, 2017 }
@attribute Genre { Sports, Platform, Racing, Role-Playing, Puzzle, Misc, Shooter, Simulation, Action, Fighting, Adventure, Strategy }
@attribute Publisher { Nintendo, Microsoft Game Studios, Take-Two Interactive, Sony Computer Entertainment, Activision, Ubisoft, Bethesda Softworks, Electronic Arts, Sega, SquareSoft, Atari, 505 Games, Capcom, GT Interactive, Konami Digital Entertainment, Sony Computer Entertainment Europe, Square Enix, LucasArts, Virgin Interactive, Warner Bros. Interactive Entertainment, Universal Interactive, Eidos Interactive, RedOctane, Vivendi Games, Enix Corporation, Namco Bandai Games, Palcom, Hasbro Interactive, THQ, Fox Interactive, Acclaim Entertainment, MTV Games, Disney Interactive Studios, Majesco Entertainment, Codemasters, Red Orb, Level 5, Arena Entertainment, Midway Games, JVC, Deep Silver, 989 Studios, NCSoft, UEP Systems, Parker Bros., Maxis, Imagic, Tecmo Koei, Valve Software, ASCII Entertainment, Mindscape, Infogrames, Unknown, Square, Valve, Activision Value, Banpresto, D3Publisher, Oxygen Interactive, Red Storm Entertainment, Video System, Hello Games, Global Star, Gotham Games, Westwood Studios, GungHo, Crave Entertainment, Hudson Soft, Coleco, Rising Star Games, Atlus, TDK Mediactive, ASC Games, Zoo Games, Accolade, Sony Online Entertainment, 3DO, RTL, Natsume, Focus Home Interactive, Alchemist, Black Label Games, SouthPeak Games, Mastertronic, Ocean, Zoo Digital Publishing, Psygnosis, City Interactive, Empire Interactive, Success, Compile, Russel, Taito, Agetec, GSP, Microprose, Play It, Slightly Mad Studios, Tomy Corporation, Sammy Corporation, Koch Media, Game Factory, Titus, Marvelous Entertainment, Genki, Mojang, Pinnacle, CTO SpA, TalonSoft, Crystal Dynamics, SCi, Quelle, mixi, Inc, Rage Software, Ubisoft Annecy, Scholastic Inc., Interplay, Mystique, ChunSoft, Square EA, 20th Century Fox Video Games, Avanquest Software, Hudson Entertainment, Nordic Games, Men-A-Vision, Nobilis, Big Ben Interactive, Touchstone, Spike, Jester Interactive, Nippon Ichi Software, LEGO Media, Quest, Illusion Softworks, Tigervision, Funbox Media, Rocket Company, Metro 3D, Mattel Interactive, IE Institute, Rondomedia, Sony Computer Entertainment America, Universal Gamex, Ghostlight, Wizard Video Games, BMG Interactive Entertainment, PQube, Trion Worlds, Laguna, Ignition Entertainment, Takara, Kadokawa Shoten, Destineer, Enterbrain, Xseed Games, Imagineer, System 3 Arcade Software, CPG Products, Aruze Corp, Gamebridge, Midas Interactive Entertainment, Jaleco, Answer Software, XS Games, Activision Blizzard, Pack In Soft, Rebellion, Xplosiv, GameMill Entertainment, Wanadoo, NovaLogic, Telltale Games, Epoch, BAM! Entertainment, Knowledge Adventure, Mastiff, Tetris Online, Harmonix Music Systems, ESP, TYO, Telegames, Mud Duck Productions, Screenlife, Pioneer LDC, Magical Company, Mentor Interactive, Kemco, Human Entertainment, Avanquest, Data Age, Electronic Arts Victor, Black Bean Games, Jack of All Games, 989 Sports, Takara Tomy, Media Rings, Elf, Starfish, Zushi Games, Jorudan, Destination Software, Inc, New, Brash Entertainment, ITT Family Games, PopCap Games, Home Entertainment Suppliers, Ackkstudios, Starpath Corp., P2 Games, BPS, Gathering of Developers, NewKidCo, Storm City Games, CokeM Interactive, CBS Electronics, Magix, Marvelous Interactive, Kalypso Media, Nihon Falcom Corporation, Wargaming.net, Angel Studios, Arc System Works, Playmates, SNK Playmore, Hamster Corporation, From Software, Nippon Columbia, Nichibutsu, Little Orbit, Conspiracy Entertainment, DTP Entertainment, Hect, Mumbo Jumbo, Pacific Century Cyber Works, Indie Games, Liquid Games, NEC, Axela, ArtDink, Sunsoft, Gust, SNK, NEC Interchannel, FuRyu, Xing Entertainment, ValuSoft, Victor Interactive, Detn8 Games, American Softworks, Nordcurrent, Bomb, Falcom Corporation, AQ Interactive, CCP, Milestone S.r.l., JoWood Productions, Seta Corporation, On Demand, NCS, Aspyr, Gremlin Interactive Ltd, Agatsuma Entertainment, Compile Heart, Culture Brain, Mad Catz, Shogakukan, Merscom LLC, Rebellion Developments, Nippon Telenet, TDK Core, bitComposer Games, Foreign Media Games, Astragon, SSI, Kadokawa Games, Idea Factory, Performance Designed Products, Asylum Entertainment, Core Design Ltd., PlayV, UFO Interactive, Idea Factory International, Playlogic Game Factory, Essential Games, Adeline Software, Funcom, Panther Software, Blast! Entertainment Ltd, Game Life, DSI Games, Avalon Interactive, Popcorn Arcade, Neko Entertainment, Vir2L Studios, Aques, Syscom, White Park Bay Software, System 3, Vatical Entertainment, Daedalic, EA Games, Media Factory, Vic Tokai, The Adventure Company, Game Arts, Broccoli, Acquire, General Entertainment, Excalibur Publishing, Imadio, Swing! Entertainment, Sony Music Entertainment, Aqua Plus, Paradox Interactive, Hip Interactive, DreamCatcher Interactive, Tripwire Interactive, Sting, Yacht Club Games, SCS Software, Bigben Interactive, Havas Interactive, Slitherine Software, Graffiti, Funsta, Telstar, U.S. Gold, DreamWorks Interactive, Data Design Interactive, MTO, DHM Interactive, FunSoft, SPS, Bohemia Interactive, Reef Entertainment, Tru Blu Entertainment, Moss, T&E Soft, O-Games, Aksys Games, NDA Productions, Data East, Time Warner Interactive, Gainax Network Systems, Daito, O3 Entertainment, Gameloft, Xicat Interactive, Simon & Schuster Interactive, Valcon Games, PopTop Software, TOHO, HMH Interactive, 5pb, Cave, CDV Software Entertainment, Microids, PM Studios, Paon, Micro Cabin, GameTek, Benesse, Type-Moon, Enjoy Gaming ltd., Asmik Corp, Interplay Productions, Asmik Ace Entertainment, inXile Entertainment, Image Epoch, Phantom EFX, Evolved Games, responDESIGN, Culture Publishers, Griffin International, Hackberry, Hearty Robin, Nippon Amuse, Origin Systems, Seventh Chord, Mitsui, Milestone, Abylight, Flight-Plan, Glams, Locus, Warp, Daedalic Entertainment, Alternative Software, Myelin Media, Mercury Games, Irem Software Engineering, Sunrise Interactive, Elite, Evolution Games, Tivola, Global A Entertainment, Edia, Athena, Aria, Gamecock, Tommo, Altron, Happinet, iWin, Media Works, Fortyfive, Revolution Software, Imax, Crimson Cow, 10TACLE Studios, Groove Games, Pack-In-Video, Insomniac Games, Ascaron Entertainment GmbH, Asgard, Ecole, Yumedia, Phenomedia, HAL Laboratory, Grand Prix Games, DigiCube, Creative Core, Kaga Create, WayForward Technologies, LSP Games, ASCII Media Works, Coconuts Japan, Arika, Ertain, Marvel Entertainment, Prototype, Phantagram, 1C Company, The Learning Company, TechnoSoft, Vap, Misawa, Tradewest, Team17 Software, Yeti, Pow, Navarre Corp, MediaQuest, Max Five, Comfort, Monte Christo Multimedia, Pony Canyon, Riverhillsoft, Summitsoft, Milestone S.r.l, Playmore, MLB.com, Kool Kizz, Flashpoint Games, 49Games, Legacy Interactive, Alawar Entertainment, CyberFront, Cloud Imperium Games Corporation, Societa, Virtual Play Games, Interchannel, Sonnet, Experience Inc., Zenrin, Iceberg Interactive, Ivolgamus, 2D Boy, MC2 Entertainment, Kando Games, Just Flight, Office Create, Mamba Games, Fields, Princess Soft, Maximum Family Games, Berkeley, Fuji, Dusenberry Martin Racing, imageepoch Inc., Big Fish Games, Her Interactive, Kamui, ASK, TopWare Interactive, Headup Games, KSS, Cygames, KID, Quinrose, Sunflowers, dramatic create, TGL, Encore, Extreme Entertainment Group, Intergrow, G.Rev, Sweets, Kokopeli Digital Studios, Number None, Nexon, id Software, BushiRoad, Tryfirst, Strategy First, 7G//AMES, GN Software, Yuke's, Easy Interactive, Licensed 4U, FuRyu Corporation, Lexicon Entertainment, Paon Corporation, Kids Station, GOA, Graphsim Entertainment, King Records, Introversion Software, Minato Station, Devolver Digital, Blue Byte, Gaga, Yamasa Entertainment, Plenty, Views, fonfun, NetRevo, Codemasters Online, Quintet, Phoenix Games, Dorart, Marvelous Games, Focus Multimedia, Imageworks, Karin Entertainment, Aerosoft, Technos Japan Corporation, Gakken, Mirai Shounen, Datam Polystar, Saurus, HuneX, Revolution (Japan), Giza10, Visco, Alvion, Mycom, Giga, Warashi, System Soft, Sold Out, Lighthouse Interactive, Masque Publishing, RED Entertainment, Michaelsoft, Media Entertainment, New World Computing, Genterprise, Interworks Unlimited, Inc., Boost On, Stainless Games, EON Digital Entertainment, Epic Games, Naxat Soft, Ascaron Entertainment, Piacci, Nitroplus, Paradox Development, Otomate, Ongakukan, Commseed, Inti Creates, Takuyo, Interchannel-Holon, Rain Games, UIG Entertainment }
@attribute Global_Sales string

@data
Jake Hunter: Detective Chronicles,DS,2008.0,Adventure,Aksys Games,0.02
Batman: Vengeance,GBA,2001.0,Adventure,Ubisoft,0.18
Petz Monkeyz House,DS,2008.0,Simulation,Ubisoft,0.23
Ready 2 Rumble Revolution,Wii,2009.0,Sports,Atari,0.16
Dynasty Warriors 3,PS2,2001.0,Action,THQ,1.87
The Hobbit,PS2,2003.0,Platform,Vivendi Games,0.54
Resident Evil Chronicles HD,PS3,2012.0,Shooter,Capcom,0.09
Rocket: Robot on Wheels,N64,1999.0,Platform,Ubisoft,0.12
Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,Take-Two Interactive,2.08
Riviera: The Promised Land,PSP,2006.0,Role-Playing,505 Games,0.09
Greg Hastings Paintball 2,Wii,2010.0,Shooter,505 Games,0.13
Cabela's Dangerous Hunts 2,XB,2005.0,Sports,Activision,0.11
BlazBlue: Continuum Shift,PS3,2010.0,Fighting,PQube,0.41
Seisou no Amazones,3DS,2013.0,Role-Playing,Arc System Works,0.01
Mega Man II,GB,1991.0,Platform,Nintendo,0.28
Hot Wheels: Beat That!,X360,2007.0,Racing,Activision,0.17
Castlevania: The Dracula X Chronicles,PSP,2007.0,Platform,Konami Digital Entertainment,0.42
Saints Row 2,PS3,2008.0,Action,THQ,1.69
Hyperdimension Neptunia mk2,PSV,2014.0,Action,Compile Heart,0.04
The Grim Adventures of Billy & Mandy,Wii,2006.0,Action,Midway Games,0.05
NHL Blades of Steel '99,N64,1999.0,Sports,Konami Digital Entertainment,0.05
Dragon Age: Inquisition,PS4,2014.0,Role-Playing,Electronic Arts,1.97
Triggerheart Exelica,DC,2007.0,Shooter,Warashi,0.02
Monster Bomber,DS,2006.0,Puzzle,505 Games,0.01
Meteos: Disney Magic,DS,2007.0,Puzzle,Disney Interactive Studios,0.04
Final Fantasy XIV: Heavensward,PS3,2015.0,Action,Square Enix,0.02
The Warriors,PSP,2007.0,Action,Take-Two Interactive,0.28
Power Rangers: Super Legends,DS,2007.0,Action,Disney Interactive Studios,0.11
JGTC: All-Japan Grand Touring Car Championship,PS,1998.0,Racing,TYO,0.42
Space Invaders Extreme,DS,2008.0,Shooter,Square Enix,0.15
FIFA Soccer 11,PC,2010.0,Sports,Electronic Arts,0.18
Dead Head Fred,PSP,2007.0,Action,D3Publisher,0.04
Trivial Pursuit unhinged,XB,2004.0,Misc,Atari,0.09
Mega Man ZX Advent,DS,2007.0,Platform,Capcom,0.35
Power Rangers: Dino Thunder,PS2,2004.0,Action,THQ,0.71
Imagine: Detective,DS,2009.0,Simulation,Ubisoft,0.23
300: March to Glory,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,0.41
Keiba Eight Special,SNES,1993.0,Sports,Misawa,0.05
The Scorpion King: Rise of the Akkadian,PS2,2002.0,Action,Universal Interactive,0.23
San Goku Shi Taisen DS,DS,2007.0,Strategy,Sega,0.16
Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,DS,2007.0,Misc,D3Publisher,0.01
Assassin's Creed: Rogue,PC,2015.0,Action,Ubisoft,0.07
Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,2009.0,Role-Playing,Nippon Ichi Software,0.02
Avatar: The Last Airbender - Into the Inferno,PS2,2008.0,Adventure,THQ,0.25
English Training: Have Fun Improving Your Skills!,DS,2006.0,Misc,Nintendo,3.33
FlatOut,XB,2004.0,Racing,Empire Interactive,0.17
Major League Baseball 2K8,Wii,2008.0,Sports,Take-Two Interactive,0.14
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008.0,Misc,THQ,0.55
Star Ocean: Till The End of Time,PS2,2003.0,Role-Playing,Ubisoft,1.72
NBA Live 07,XB,2006.0,Sports,Electronic Arts,0.06
Risk / Battleship / Clue,GBA,2005.0,Misc,Zoo Digital Publishing,0.34
Pro Evolution Soccer 2013,Wii,2012.0,Sports,Konami Digital Entertainment,0.1
LEGO Jurassic World,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.63
Aegis of Earth: Protonovus Assault,PS4,2016.0,Action,PQube,0.02
Shrek: Hassle at the Castle,GBA,2002.0,Action,TDK Mediactive,0.66
Guardian's Crusade,PS,1998.0,Role-Playing,Activision,0.12
Phantom Crash,XB,2002.0,Simulation,Phantagram,0.05
Rally Cross,PS,1997.0,Racing,Sony Computer Entertainment,0.32
Sabrina The Teenage Witch: Potion Commotion,GBA,2002.0,Action,Ubisoft,0.11
Dragon Ball: Fusions,3DS,2016.0,Role-Playing,Namco Bandai Games,0.17
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,5.17
NFL Blitz 20-02,GC,2002.0,Sports,Midway Games,0.09
Flow: Urban Dance Uprising,PS2,2005.0,Misc,Ubisoft,0.04
Petz Rescue: Ocean Patrol,DS,2008.0,Adventure,Ubisoft,0.37
Monster Rancher Battle Card: Episode II,PS,2000.0,Action,Tecmo Koei,0.07
Cabela's African Safari,X360,2006.0,Sports,Activision Value,0.14
Superman: Countdown to Apokolips,GBA,2003.0,Platform,Atari,0.04
MTV Celebrity Deathmatch,PS2,2003.0,Fighting,Gotham Games,0.76
Fatal Fury Special,SNES,1994.0,Fighting,Takara,0.56
Sniper Elite V2,PS3,2012.0,Shooter,505 Games,0.98
Zac to Ombra: Maboroshi no Yuuenchi,DS,2010.0,Adventure,Konami Digital Entertainment,0.04
1942,NES,1985.0,Shooter,Capcom,1.0
Herbie: Fully Loaded,GBA,2005.0,Racing,Disney Interactive Studios,0.34
Blades of Blood: Samurai Shodown III,PS,1995.0,Fighting,Sony Computer Entertainment,0.08
Bionicle,GC,2003.0,Action,Electronic Arts,0.21
Ridge Racer,PSV,2011.0,Racing,Namco Bandai Games,0.2
Freekstyle,GBA,2003.0,Racing,Zoo Digital Publishing,0.01
Noddy in Toyland,DS,2011.0,Misc,GSP,0.06
Shrek: Forever After,X360,2010.0,Platform,Activision,0.1
Sharin no Kuni Himawari no Shoujo,X360,2010.0,Adventure,5pb,0.02
Broken Sword: The Shadow of the Templars,GBA,2002.0,Adventure,BAM! Entertainment,0.06
Lux-Pain,DS,2008.0,Adventure,Rising Star Games,0.05
Virtual Chess 64,N64,1998.0,Misc,Titus,0.06
Toriko: Gourmet Survival!,PSP,2011.0,Role-Playing,Namco Bandai Games,0.36
Group S Challenge,XB,2003.0,Racing,Capcom,0.02
The Lord of the Rings: Aragorn's Quest,PSP,2010.0,Action,Warner Bros. Interactive Entertainment,0.12
Rally Fusion: Race of Champions,PS2,2002.0,Racing,Activision,0.13
Stuntman: Ignition,PS2,2007.0,Racing,THQ,0.27
Jewel Master: Cradle of Athena,DS,2010.0,Puzzle,Storm City Games,0.19
Pocket Monsters Stadium,N64,1998.0,Strategy,Nintendo,1.37
Jampack Volume 13 (RP-T),PS2,2005.0,Misc,Sony Computer Entertainment,0.64
UEFA Champions League 2006-2007,X360,2007.0,Sports,Electronic Arts,0.05
Metal Slug 4 & 5,XB,2005.0,Shooter,SNK Playmore,0.04
MX vs. ATV Untamed,PS2,2007.0,Racing,THQ,0.38
Knack,PS4,2013.0,Platform,Sony Computer Entertainment Europe,1.67
Rayman 2: Revolution,PS2,2000.0,Platform,Ubisoft,0.3
Charm Girls Club: Pajama Party,Wii,2009.0,Misc,Electronic Arts,0.15
Secret of Mana,SNES,1993.0,Role-Playing,SquareSoft,1.83
Deus Ex: The Conspiracy,PS2,2002.0,Action,Eidos Interactive,0.21
Outdoors Unleashed: Africa 3D,3DS,2011.0,Sports,Mastiff,0.01
Derby Jockey 2,SNES,1995.0,Sports,Asmik Corp,0.1
Virtua Racing,GEN,1994.0,Racing,Sega,0.26
Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.68
Pony Friends 2,PC,2009.0,Simulation,Eidos Interactive,0.01
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009.0,Fighting,Namco Bandai Games,0.38
Red Faction,PS2,2001.0,Shooter,THQ,1.92
Ace Combat: Assault Horizon Legacy,3DS,2011.0,Simulation,Namco Bandai Games,0.24
SX Superstar,GC,2003.0,Racing,Acclaim Entertainment,0.03
Jersey Devil,PS,1997.0,Platform,Ocean,0.23
A Witch's Tale,DS,2009.0,Role-Playing,Nippon Ichi Software,0.11
Bass Landing,PS,1999.0,Sports,ASCII Entertainment,0.62
Harry Potter and the Prisoner of Azkaban,PS2,2004.0,Action,Electronic Arts,1.02
Harry Potter and the Deathly Hallows - Part 1,Wii,2010.0,Action,Electronic Arts,0.55
Pro Yakyuu Spirits 5 Kanzenban,PS3,2008.0,Sports,Konami Digital Entertainment,0.03
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,2016.0,Misc,Tecmo Koei,0.04
X-Men: Destiny,DS,2011.0,Action,Activision,0.06
WRC: FIA World Rally Championship,PS3,,Racing,Black Bean Games,0.21
Pocket Fighter,PS,1997.0,Fighting,Virgin Interactive,0.23
Cars: Mater-National Championship,PS2,2007.0,Racing,THQ,0.25
