//@relation converted_csv
@attribute Rank numeric
@attribute Name string
@attribute Platform string
@attribute Year numeric
@attribute Genre string
@attribute Publisher string
@attribute NA_Sales numeric
@attribute EU_Sales numeric
@attribute JP_Sales numeric
@attribute Other_Sales numeric
@attribute Global_Sales numeric

@data
15285,Jake Hunter: Detective Chronicles,DS,2008,Adventure,Aksys Games,0.02,0,0,0,0.02
8111,Batman: Vengeance,GBA,2001,Adventure,Ubisoft,0.13,0.05,0,0,0.18
7134,Petz Monkeyz House,DS,2008,Simulation,Ubisoft,0.2,0,0,0.02,0.23
8535,Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,0.15,0,0,0.01,0.16
923,Dynasty Warriors 3,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87
3752,The Hobbit,PS2,2003,Platform,Vivendi Games,0.26,0.2,0,0.07,0.54
10959,Resident Evil Chronicles HD,PS3,2012,Shooter,Capcom,0,0,0.09,0,0.09
9820,Rocket: Robot on Wheels,N64,1999,Platform,Ubisoft,0.1,0.02,0,0,0.12
806,Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,2.08
10955,Riviera: The Promised Land,PSP,2006,Role-Playing,505 Games,0.07,0,0.02,0.01,0.09
9406,Greg Hastings Paintball 2,Wii,2010,Shooter,505 Games,0.12,0,0,0.01,0.13
10413,Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,0.08,0.02,0,0,0.11
4710,BlazBlue: Continuum Shift,PS3,2010,Fighting,PQube,0.21,0.08,0.09,0.04,0.41
16243,Seisou no Amazones,3DS,2013,Role-Playing,Arc System Works,0,0,0.01,0,0.01
6166,Mega Man II,GB,1991,Platform,Nintendo,0,0,0.28,0,0.28
8381,Hot Wheels: Beat That!,X360,2007,Racing,Activision,0.15,0,0,0.01,0.17
4670,Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.42
1061,Saints Row 2,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,1.69
13522,Hyperdimension Neptunia mk2,PSV,2014,Action,Compile Heart,0,0,0.04,0,0.04
13196,The Grim Adventures of Billy & Mandy,Wii,2006,Action,Midway Games,0.04,0,0,0,0.05
13085,NHL Blades of Steel '99,N64,1999,Sports,Konami Digital Entertainment,0.05,0,0,0,0.05
860,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
15902,Triggerheart Exelica,DC,2007,Shooter,Warashi,0,0,0.02,0,0.02
16281,Monster Bomber,DS,2006,Puzzle,505 Games,0.01,0,0,0,0.01
13751,Meteos: Disney Magic,DS,2007,Puzzle,Disney Interactive Studios,0.01,0.02,0,0,0.04
15271,Final Fantasy XIV: Heavensward,PS3,2015,Action,Square Enix,0.01,0,0.01,0,0.02
6217,The Warriors,PSP,2007,Action,Take-Two Interactive,0.23,0.02,0,0.03,0.28
10136,Power Rangers: Super Legends,DS,2007,Action,Disney Interactive Studios,0.08,0.03,0,0.01,0.11
4614,JGTC: All-Japan Grand Touring Car Championship,PS,1998,Racing,TYO,0.23,0.16,0,0.03,0.42
8737,Space Invaders Extreme,DS,2008,Shooter,Square Enix,0.12,0.01,0.01,0.01,0.15
8096,FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0,0.14,0,0.04,0.18
13520,Dead Head Fred,PSP,2007,Action,D3Publisher,0.04,0,0,0,0.04
10928,Trivial Pursuit unhinged,XB,2004,Misc,Atari,0.07,0.02,0,0,0.09
5305,Mega Man ZX Advent,DS,2007,Platform,Capcom,0.23,0,0.09,0.02,0.35
2883,Power Rangers: Dino Thunder,PS2,2004,Action,THQ,0.35,0.27,0,0.09,0.71
7017,Imagine: Detective,DS,2009,Simulation,Ubisoft,0.16,0.01,0,0.06,0.23
4712,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06,0.41
13149,Keiba Eight Special,SNES,1993,Sports,Misawa,0,0,0.05,0,0.05
7003,The Scorpion King: Rise of the Akkadian,PS2,2002,Action,Universal Interactive,0.11,0.09,0,0.03,0.23
8522,San Goku Shi Taisen DS,DS,2007,Strategy,Sega,0,0,0.16,0,0.16
16027,Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,DS,2007,Misc,D3Publisher,0,0,0.01,0,0.01
12049,Assassin's Creed: Rogue,PC,2015,Action,Ubisoft,0.04,0.02,0,0.01,0.07
15676,Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,2009,Role-Playing,Nippon Ichi Software,0,0,0.02,0,0.02
6770,Avatar: The Last Airbender - Into the Inferno,PS2,2008,Adventure,THQ,0.12,0.09,0,0.03,0.25
403,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,0,0.99,2.32,0.02,3.33
8455,FlatOut,XB,2004,Racing,Empire Interactive,0.12,0.04,0,0.01,0.17
9260,Major League Baseball 2K8,Wii,2008,Sports,Take-Two Interactive,0.13,0,0,0.01,0.14
3684,Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,Misc,THQ,0.51,0,0,0.04,0.55
1041,Star Ocean: Till The End of Time,PS2,2003,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.72
12780,NBA Live 07,XB,2006,Sports,Electronic Arts,0.04,0.01,0,0,0.06
5353,Risk / Battleship / Clue,GBA,2005,Misc,Zoo Digital Publishing,0.25,0.09,0,0.01,0.34
10676,Pro Evolution Soccer 2013,Wii,2012,Sports,Konami Digital Entertainment,0,0.03,0.06,0,0.1
3233,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0,0.06,0.63
15169,Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.02
3084,Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,0.47,0.17,0,0.01,0.66
9727,Guardian's Crusade,PS,1998,Role-Playing,Activision,0.07,0.05,0,0.01,0.12
13058,Phantom Crash,XB,2002,Simulation,Phantagram,0.03,0.01,0.01,0,0.05
5639,Rally Cross,PS,1997,Racing,Sony Computer Entertainment,0.18,0.12,0,0.02,0.32
10131,Sabrina The Teenage Witch: Potion Commotion,GBA,2002,Action,Ubisoft,0.08,0.03,0,0,0.11
8446,Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
11120,NFL Blitz 20-02,GC,2002,Sports,Midway Games,0.07,0.02,0,0,0.09
14028,Flow: Urban Dance Uprising,PS2,2005,Misc,Ubisoft,0.02,0.01,0,0,0.04
5083,Petz Rescue: Ocean Patrol,DS,2008,Adventure,Ubisoft,0.35,0,0,0.03,0.37
11921,Monster Rancher Battle Card: Episode II,PS,2000,Action,Tecmo Koei,0.04,0.03,0,0,0.07
9214,Cabela's African Safari,X360,2006,Sports,Activision Value,0.13,0,0,0.01,0.14
13745,Superman: Countdown to Apokolips,GBA,2003,Platform,Atari,0.03,0.01,0,0,0.04
2695,MTV Celebrity Deathmatch,PS2,2003,Fighting,Gotham Games,0.37,0.29,0,0.1,0.76
3611,Fatal Fury Special,SNES,1994,Fighting,Takara,0,0,0.56,0,0.56
2120,Sniper Elite V2,PS3,2012,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98
13807,Zac to Ombra: Maboroshi no Yuuenchi,DS,2010,Adventure,Konami Digital Entertainment,0,0,0.04,0,0.04
2061,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0,1
5422,Herbie: Fully Loaded,GBA,2005,Racing,Disney Interactive Studios,0.24,0.09,0,0.01,0.34
11357,Blades of Blood: Samurai Shodown III,PS,1995,Fighting,Sony Computer Entertainment,0.05,0.03,0,0.01,0.08
7424,Bionicle,GC,2003,Action,Electronic Arts,0.16,0.04,0,0.01,0.21
7667,Ridge Racer,PSV,2011,Racing,Namco Bandai Games,0.04,0.08,0.05,0.03,0.2
16212,Freekstyle,GBA,2003,Racing,Zoo Digital Publishing,0.01,0,0,0,0.01
12692,Noddy in Toyland,DS,2011,Misc,GSP,0,0.05,0,0.01,0.06
10495,Shrek: Forever After,X360,2010,Platform,Activision,0.09,0,0,0.01,0.1
15958,Sharin no Kuni Himawari no Shoujo,X360,2010,Adventure,5pb,0,0,0.02,0,0.02
12591,Broken Sword: The Shadow of the Templars,GBA,2002,Adventure,BAM! Entertainment,0.04,0.02,0,0,0.06
13395,Lux-Pain,DS,2008,Adventure,Rising Star Games,0.04,0,0,0,0.05
12512,Virtual Chess 64,N64,1998,Misc,Titus,0.05,0.01,0,0,0.06
5252,Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,0,0,0.36,0,0.36
15245,Group S Challenge,XB,2003,Racing,Capcom,0.02,0,0,0,0.02
9944,The Lord of the Rings: Aragorn's Quest,PSP,2010,Action,Warner Bros. Interactive Entertainment,0.07,0.02,0,0.02,0.12
9492,Rally Fusion: Race of Champions,PS2,2002,Racing,Activision,0.06,0.05,0,0.02,0.13
6356,Stuntman: Ignition,PS2,2007,Racing,THQ,0.13,0.1,0,0.03,0.27
7908,Jewel Master: Cradle of Athena,DS,2010,Puzzle,Storm City Games,0.18,0,0,0.01,0.19
1423,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0,0,1.37,0,1.37
3173,Jampack Volume 13 (RP-T),PS2,2005,Misc,Sony Computer Entertainment,0.31,0.24,0,0.08,0.64
12946,UEFA Champions League 2006-2007,X360,2007,Sports,Electronic Arts,0.04,0.01,0,0,0.05
13646,Metal Slug 4 & 5,XB,2005,Shooter,SNK Playmore,0.03,0.01,0,0,0.04
5048,MX vs. ATV Untamed,PS2,2007,Racing,THQ,0.32,0.01,0,0.05,0.38
1089,Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67
5896,Rayman 2: Revolution,PS2,2000,Platform,Ubisoft,0.15,0.11,0,0.04,0.3
8903,Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,0.14,0,0,0.01,0.15
950,Secret of Mana,SNES,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83
7432,Deus Ex: The Conspiracy,PS2,2002,Action,Eidos Interactive,0.1,0.08,0,0.03,0.21
16581,Outdoors Unleashed: Africa 3D,3DS,2011,Sports,Mastiff,0.01,0,0,0,0.01
10748,Derby Jockey 2,SNES,1995,Sports,Asmik Corp,0,0,0.1,0,0.1
6475,Virtua Racing,GEN,1994,Racing,Sega,0,0,0.26,0,0.26
2987,Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0.57,0.02,0,0.09,0.68
16514,Pony Friends 2,PC,2009,Simulation,Eidos Interactive,0,0.01,0,0,0.01
5001,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,0.38
899,Red Faction,PS2,2001,Shooter,THQ,0.76,0.96,0,0.2,1.92
6802,Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24
14166,SX Superstar,GC,2003,Racing,Acclaim Entertainment,0.03,0.01,0,0,0.03
7129,Jersey Devil,PS,1997,Platform,Ocean,0.13,0.09,0,0.01,0.23
10002,A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11
3271,Bass Landing,PS,1999,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62
2041,Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,Electronic Arts,0.5,0.39,0,0.13,1.02
3639,Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,0.22,0.28,0,0.05,0.55
14350,Pro Yakyuu Spirits 5 Kanzenban,PS3,2008,Sports,Konami Digital Entertainment,0,0,0.03,0,0.03
13870,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,2016,Misc,Tecmo Koei,0,0,0.04,0,0.04
12463,X-Men: Destiny,DS,2011,Action,Activision,0.05,0.01,0,0,0.06
7425,WRC: FIA World Rally Championship,PS3,nan,Racing,Black Bean Games,0,0.15,0.01,0.05,0.21
7106,Pocket Fighter,PS,1997,Fighting,Virgin Interactive,0.06,0.04,0.12,0.01,0.23
6742,Cars: Mater-National Championship,PS2,2007,Racing,THQ,0.12,0.09,0,0.03,0.25
11398,NHL 06,GC,2005,Sports,Electronic Arts,0.06,0.02,0,0,0.08
5804,40 Winks,PS,1999,Platform,GT Interactive,0.17,0.12,0,0.02,0.31
8818,Serious Sam,XB,2002,Shooter,Take-Two Interactive,0.11,0.03,0,0.01,0.15
1031,Disney Infinity,Wii,2013,Action,Disney Interactive Studios,1.15,0.44,0,0.14,1.73
11734,Fairy Tail: Portable Guild 2,PSP,2011,Fighting,Konami Digital Entertainment,0,0,0.08,0,0.08
16195,Metal Slug Anthology,PS2,2007,Shooter,Ignition Entertainment,0,0,0.01,0,0.01
